"term","count.2013","pct.2013","count.2017","pct.2017","difference","ratio"
"computacenter",11,0.000285840501000442,74,0.0290766208251473,0.0287907803241469,101.723236292195
"mental",38,0.000987449003456071,227,0.0891944990176817,0.0882070500142257,90.3282080446696
"publicly",12,0.000311826001091391,55,0.0216110019646365,0.0212991759635451,69.304682383759
"angularjs",12,0.000311826001091391,54,0.0212180746561886,0.0209062486550972,68.0445972495088
"disclosure",113,0.00293636151027727,497,0.195284872298625,0.192348510788347,66.5057322183007
"angular",28,0.000727594002546579,122,0.0479371316306483,0.0472095376281018,65.88445130508
"dementia",24,0.000623652002182782,83,0.0326129666011788,0.031989314598996,52.2935330713818
"adult",76,0.00197489800691214,240,0.0943025540275049,0.0923276560205928,47.7505945610588
"meal",11,0.000285840501000442,34,0.0133595284872299,0.0130736879862294,46.7377031612788
"teacher",34,0.000883507003092275,95,0.037328094302554,0.0364445872994618,42.2499133248584
"setting",54,0.00140321700491126,134,0.0526522593320236,0.0512490423271123,37.5225351087826
"nurse",97,0.00252059350882208,234,0.0919449901768173,0.0894243966679952,36.4775160512831
"difficulty",36,0.000935478003274173,74,0.0290766208251473,0.0281411428218732,31.0820999781707
"unless",33,0.000857521503001325,67,0.0263261296660118,0.0254686081630105,30.7002559980949
"residential",103,0.00267650650936777,189,0.0742632612966601,0.0715867547872923,27.7463406260133
"september",17,0.000441753501546137,31,0.0121807465618861,0.0117389930603399,27.5736276435918
"guest",17,0.000441753501546137,30,0.0117878192534381,0.011346065751892,26.6841557841211
"inclusion",34,0.000883507003092275,59,0.0231827111984283,0.022299204195336,26.2394198543858
"pupil",36,0.000935478003274173,61,0.0239685658153242,0.02303308781205,25.6217310630867
"hospital",78,0.00202686900709404,130,0.0510805500982318,0.0490536810911378,25.2017026850033
"repayment",12,0.000311826001091391,19,0.00746561886051081,0.00715379285941941,23.9416175507531
"wellbeing",16,0.000415768001455188,25,0.00982318271119843,0.00940741470974324,23.6265962671906
"cpd",19,0.000493724501728036,28,0.0110019646365422,0.0105082401348142,22.2836107951608
"older",79,0.00205285450718499,116,0.0455795677799607,0.0435267132727757,22.2030190743826
"nigelfrank",165,0.00428760751500663,237,0.0931237721021611,0.0888361645871545,21.7192855867119
"volunteer",31,0.000805550502819427,41,0.0161100196463654,0.015304469143546,19.9987705177768
"holistic",31,0.000805550502819427,39,0.0153241650294695,0.0145186145266501,19.0232207364218
"child",185,0.00480731751682561,232,0.0911591355599214,0.0863518180430958,18.962578452716
"safeguard",94,0.00244263700854923,116,0.0455795677799607,0.0431369307714115,18.6599841157046
"summer",28,0.000727594002546579,34,0.0133595284872299,0.0126319344846833,18.3612405276452
"http",29,0.000753579502637528,35,0.0137524557956778,0.0129988762930403,18.2495088408644
"documentary",20,0.000519710001818985,24,0.00943025540275049,0.00891054540093151,18.1452259332024
"isl",18,0.000467739001637087,21,0.00825147347740668,0.00778373447576959,17.6411918795023
"sg",21,0.000545695501909934,24,0.00943025540275049,0.00888455990084056,17.2811675554308
"acute",59,0.00153314450536601,67,0.0263261296660118,0.0247929851606458,17.1713296260531
"welfare",52,0.00135124600472936,59,0.0231827111984283,0.0218314651936989,17.1565437509445
"ward",28,0.000727594002546579,31,0.0121807465618861,0.0114531525593395,16.7411310693236
"manageable",28,0.000727594002546579,30,0.0117878192534381,0.0110602252508915,16.2010945832164
"hygiene",14,0.000363797001273289,15,0.00589390962671906,0.00553011262544577,16.2010945832164
"therapy",14,0.000363797001273289,15,0.00589390962671906,0.00553011262544577,16.2010945832164
"induction",87,0.00226073850791258,90,0.0353634577603143,0.0331027192524018,15.6424361493124
"lower",64,0.00166307200582075,65,0.0255402750491159,0.0238772030432952,15.3572875736739
"april",89,0.00231270950809448,90,0.0353634577603143,0.0330507482522199,15.2909207302267
"din",15,0.000389782501364239,15,0.00589390962671906,0.00550412712535482,15.121021611002
"patience",29,0.000753579502637528,29,0.0113948919449902,0.0106413124423526,15.121021611002
"deserve",23,0.000597666502091833,23,0.00903732809430255,0.00843966159221072,15.121021611002
"elasticsearch",19,0.000493724501728036,18,0.00707269155206287,0.00657896705033483,14.3251783683177
"elsewhere",36,0.000935478003274173,34,0.0133595284872299,0.0124240504839557,14.2809648548352
"veteran",17,0.000441753501546137,16,0.00628683693516699,0.00584508343362086,14.2315497515313
"bar",150,0.00389782501364239,141,0.0554027504911591,0.0515049254775167,14.2137603143418
"nmc",27,0.00070160850245563,25,0.00982318271119843,0.0091215742087428,14.0009459361129
"continuation",13,0.00033781150118234,12,0.00471512770137525,0.00437731620019291,13.9578661024634
"ellie",13,0.00033781150118234,12,0.00471512770137525,0.00437731620019291,13.9578661024634
"cyber",80,0.00207884000727594,73,0.0286836935166994,0.0266048535094235,13.7979322200393
"aws",268,0.0069641140243744,244,0.0958742632612967,0.0889101492369223,13.7669002727033
"academy",131,0.00340410051191435,117,0.0459724950884086,0.0425683945764943,13.5050345686048
"branch",223,0.00579476652028168,196,0.0770137524557957,0.071218985935514,13.2902252724502
"honesty",23,0.000597666502091833,20,0.00785854616895874,0.00726087966686691,13.1487144443495
"azure",225,0.00584673752046358,192,0.0754420432220039,0.0695953057015403,12.9032717747217
"ni",127,0.00330015851155055,108,0.0424361493123772,0.0391359908008267,12.8588215274662
"crowd",32,0.000831536002910376,27,0.0106090373280943,0.00977750132518393,12.7583619842829
"nodejs",25,0.000649637502273731,21,0.00825147347740668,0.00760183597513295,12.7016581532416
"artificial",18,0.000467739001637087,15,0.00589390962671906,0.00542617062508197,12.6008513425016
"disciplinary",35,0.000909492503183224,29,0.0113948919449902,0.010485399441807,12.5288464776873
"pathway",23,0.000597666502091833,19,0.00746561886051081,0.00686795235841897,12.4912787221321
"accommodate",79,0.00205285450718499,65,0.0255402750491159,0.0234874205419309,12.4413468951282
"severity",33,0.000857521503001325,27,0.0106090373280943,0.00975151582509298,12.3717449544562
"disable",16,0.000415768001455188,13,0.00510805500982318,0.00469228700836799,12.2858300589391
"devops",246,0.00639243302237352,199,0.0781925343811395,0.071800101358766,12.2320459373552
"org",41,0.00106540550372892,33,0.0129666011787819,0.011901195675053,12.1705783698308
"bootstrap",54,0.00140321700491126,43,0.0168958742632613,0.01549265725835,12.0408135050571
"listener",19,0.000493724501728036,15,0.00589390962671906,0.00540018512499102,11.9376486402647
"oc",18,0.000467739001637087,14,0.00550098231827112,0.00503324331663403,11.7607945863349
"skype",32,0.000831536002910376,24,0.00943025540275049,0.00859871939984012,11.3407662082515
"school",461,0.0119793155419276,340,0.133595284872299,0.121615969330371,11.1521634441229
"cgi",15,0.000389782501364239,11,0.00432220039292731,0.00393241789156307,11.0887491814014
"sanction",15,0.000389782501364239,11,0.00432220039292731,0.00393241789156307,11.0887491814014
"independence",26,0.00067562300236468,19,0.00746561886051081,0.00678999585814612,11.0499773311168
"vulnerable",40,0.00103942000363797,29,0.0113948919449902,0.0103554719413522,10.9627406679764
"care",1421,0.0369253956292389,1019,0.400392927308448,0.363467531679209,10.8432941742512
"curriculum",34,0.000883507003092275,24,0.00943025540275049,0.00854674839965822,10.6736623136484
"tuesday",34,0.000883507003092275,24,0.00943025540275049,0.00854674839965822,10.6736623136484
"seamless",85,0.00220876750773069,60,0.0235756385068762,0.0213668709991455,10.6736623136484
"june",20,0.000519710001818985,14,0.00550098231827112,0.00498127231645214,10.5847151277014
"spark",29,0.000753579502637528,20,0.00785854616895874,0.00710496666632121,10.4282907662083
"emotional",16,0.000415768001455188,11,0.00432220039292731,0.00390643239147212,10.3957023575639
"iaa",40,0.00103942000363797,27,0.0106090373280943,0.00956961732445633,10.2066895874263
"forklift",33,0.000857521503001325,22,0.00864440078585462,0.00778687928285329,10.0806810740013
"al",73,0.0018969415066393,48,0.018860510805501,0.0169635692988617,9.94258955243965
"tell",84,0.00218278200763974,55,0.0216110019646365,0.0194282199569968,9.90066891196557
"sum",23,0.000597666502091833,15,0.00589390962671906,0.00529624312462722,9.86153583326215
"paas",40,0.00103942000363797,26,0.0102161100196464,0.0091766900160084,9.82866404715128
"gcp",20,0.000519710001818985,13,0.00510805500982318,0.0045883450080042,9.82866404715128
"rgn",17,0.000441753501546137,11,0.00432220039292731,0.00388044689138117,9.78419045417774
"transparent",99,0.00257256450900398,64,0.025147347740668,0.022574783231664,9.77520588994066
"instructor",25,0.000649637502273731,16,0.00628683693516699,0.00563719943289326,9.67745383104126
"court",30,0.000779565002728477,19,0.00746561886051081,0.00668605385778233,9.57664702030124
"treatment",202,0.00524907101837175,127,0.049901768172888,0.0446526971545163,9.50678091384777
"affinity",35,0.000909492503183224,22,0.00864440078585462,0.00773490828267139,9.50464215548695
"personalise",50,0.00129927500454746,31,0.0121807465618861,0.0108814715573386,9.37503339882122
"foremost",55,0.00142920250500221,34,0.0133595284872299,0.0119303259822277,9.34754063225576
"student",196,0.00509315801782605,121,0.0475442043222004,0.0424510463043743,9.3349164027104
"cpc",18,0.000467739001637087,11,0.00432220039292731,0.00385446139129022,9.24062431783453
"confluence",28,0.000727594002546579,17,0.00667976424361493,0.00595217024106835,9.18062026382262
"chef",118,0.00306628901073201,71,0.0278978388998035,0.0248315498890715,9.09824181678932
"sacrifice",39,0.00101343450354702,23,0.00903732809430255,0.00802389359075553,8.9175255654627
"inspirational",64,0.00166307200582075,37,0.0145383104125737,0.0128752384067529,8.74184061886051
"elastic",26,0.00067562300236468,15,0.00589390962671906,0.00521828662435438,8.7236663140396
