"Term","count.2013","pct.2013","count.2017","pct.2017","diff","pct.growth.rate"
"childcare",2,0.000650406504065041,171,0.036861392541496,0.036210986037431,55.6743910325501
"care assistant time",2,0.000650406504065041,40,0.00862254796292304,0.007972141458858,12.2571674929942
"health care",1,0.00032520325203252,6,0.00129338219443846,0.000968178942405936,2.97715024789825
"time care assistant",1,0.00032520325203252,6,0.00129338219443846,0.000968178942405936,2.97715024789825
"manager home",1,0.00032520325203252,5,0.00107781849536538,0.00075261524333286,2.31429187324855
"night",1,0.00032520325203252,5,0.00107781849536538,0.00075261524333286,2.31429187324855
"residential",1,0.00032520325203252,5,0.00107781849536538,0.00075261524333286,2.31429187324855
"home",9,0.00292682926829268,41,0.00883811166199612,0.00591128239370344,2.01968815118201
"care home",3,0.000975609756097561,13,0.00280232808794999,0.00182671833185243,1.87238629014874
"experience",1,0.00032520325203252,4,0.000862254796292304,0.000537051544259784,1.65143349859884
"care support",3,0.000975609756097561,12,0.00258676438887691,0.00161115463277935,1.65143349859884
"child",8,0.00260162601626016,30,0.00646691097219228,0.00386528495593212,1.48571890493641
"care assistant adult",4,0.00130081300813008,15,0.00323345548609614,0.00193264247796606,1.48571890493641
"community care assistant",5,0.0016260162601626,17,0.00366458288424229,0.00203856662407969,1.25371847380901
"senior home",1,0.00032520325203252,3,0.000646691097219228,0.000321487845186708,0.988575123949127
"care assistant",244,0.079349593495935,688,0.148307824962276,0.0689582314663414,0.86904328589754
"support officer",4,0.00130081300813008,11,0.00237120068980384,0.00107038768167376,0.8228605302867
"care assistant care assistant",9,0.00292682926829268,24,0.00517352877775383,0.00224669950946114,0.767622332399224
"senior care assistant",23,0.00747967479674797,53,0.011424876050873,0.00394520125412507,0.52745625462759
"night care assistant",13,0.00422764227642276,29,0.00625134727311921,0.00202370499669644,0.478684066526274
"assistant care assistant",2,0.000650406504065041,4,0.000862254796292304,0.000211848292227264,0.325716749299418
"social worker health team",2,0.000650406504065041,4,0.000862254796292304,0.000211848292227264,0.325716749299418
"adult care assistant",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"care assistant health",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"home care support",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"manager social",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"manager social care",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"residential team",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"service assistant",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"support assistant",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"team manager social care",1,0.00032520325203252,2,0.000431127398146152,0.000105924146113632,0.325716749299418
"care",64,0.0208130081300813,119,0.0256520801896961,0.00483907205961475,0.232502290364303
"assistant",37,0.0120325203252033,63,0.0135805130416038,0.00154799271640054,0.12865074602518
"assistant manager",5,0.0016260162601626,8,0.00172450959258461,9.84933324220071e-05,0.0605733994395344
"home care assistant",9,0.00292682926829268,14,0.00301789178702307,9.10625187303823e-05,0.0311130272328806
"residential childcare assistant",2,0.000650406504065041,3,0.000646691097219228,-3.71540684581241e-06,-0.00571243802543658
"social team",2,0.000650406504065041,3,0.000646691097219228,-3.71540684581241e-06,-0.00571243802543658
"social worker need team",2,0.000650406504065041,3,0.000646691097219228,-3.71540684581241e-06,-0.00571243802543658
"residential care assistant",37,0.0120325203252033,51,0.0109937486527269,-0.00103877167247637,-0.0863303484558066
"health care assistant",18,0.00585365853658537,24,0.00517352877775383,-0.00068012975883154,-0.116188833800388
"home care",7,0.00227642276422764,9,0.00194007329165768,-0.000336349472569957,-0.147753518307517
"time",6,0.00195121951219512,7,0.00150894589351153,-0.000442273618683589,-0.22666522957534
"adult social care social worker",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"adult team manager",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"care service manager",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"care support manager",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"child care",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"community time",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"community worker",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"manager home care",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"nurse team",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"officer care",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"senior practitioner child team",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"senior practitioner social worker",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"senior residential childcare assistant",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"senior social worker family",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"service manager disability",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"service manager social care",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"service worker",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"social health",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"social worker care team",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"social worker family support team",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"social worker need child",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"time social worker",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"time support",1,0.00032520325203252,1,0.000215563699073076,-0.000109639552959444,-0.337141625350291
"manager health",2,0.000650406504065041,2,0.000431127398146152,-0.000219279105918888,-0.337141625350291
"night nurse",2,0.000650406504065041,2,0.000431127398146152,-0.000219279105918888,-0.337141625350291
"night support",2,0.000650406504065041,2,0.000431127398146152,-0.000219279105918888,-0.337141625350291
"team manager child",2,0.000650406504065041,2,0.000431127398146152,-0.000219279105918888,-0.337141625350291
"team",25,0.00813008130081301,25,0.0053890924768269,-0.00274098882398611,-0.337141625350291
